TRAVEL_ID,VISIT_AREA_ID,ACTIVITY_TYPE_CD,ACTIVITY_TYPE_SEQ,CONSUME_HIS_SEQ,CONSUME_HIS_SNO,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC,SGG_CD
g_g004822,2308120004,6,1,1,0,3,,중산유료낚시터,중산리길 185,,,,,5,36000,,4313032500
g_g000545,2305280011,1,0,0,1,1,1433400898,텐테이블,대전 중구 중교로 47,대전 중구 대흥동 251-6,3010017,3014010500,2023-05-28 18:52,1,28000,엔젤 디비니따 레;크림 감자 뇨끼,
g_g000498,2305190005,1,0,0,1,1,4110557125,선경횟집,전남 목포시 해안로57번길 2,전남 목포시 온금동 186,4643789,4611015600,2023-05-19 17:40,1,44000,,
g_g002035,2306190006,2,0,0,1,2,5864700722,여수밤바다 기념품샵,전남 여수시 진남상가길 6,전남 여수시 중앙동 567-1,4646874,4613010700,2023-06-19 15:23,1,38000,여수밤바다 동백주;여수밤바다 종합김,
g_g000832,2306040002,2,0,0,1,4,1589901205,육자매상회,전북 부안군 진서면 곰소항길 66-25,전북 부안군 진서면 곰소리 841,4640053,4580037024,2023-06-04 12:26,1,65000,,
g_g000832,2306040002,2,0,0,3,4,5149201051,위도수산건어물,전북 부안군 진서면 곰소항길 72,전북 부안군 진서면 곰소리 842,4640053,4580037024,2023-06-04 12:34,1,55000,,
g_g000952,2305280007,1,0,0,2,2,5675500712,한사랑한우식당,전남 장흥군 장흥읍 토요시장2길 9-1,전남 장흥군 장흥읍 예양리 190-2,4676483,4680025024,2023-05-28 20:21,1,78000,,
g_g005967,2308250004,2,1,1,1,2,7861700043,신비포차,전남 목포시 해안로 2,,3281090,4611015700,2023-08-25 01:53,1,78000,광어회;소주;맥주 ,
g_g006029,2308140004,3,1,1,1,5,3160457648,꽃지안면도레포츠,충남 태안군 안면읍 꽃지해안로 412,충남 태안군 안면읍 승언리 3114-5,3264003,4482525321,2023-08-14 11:58,1,110000,,
g_g000345,2305190003,1,0,0,1,2,2546000504,정다운식당 푸드,전남 여수시 봉산남8길 7,전남 여수시 봉산동 275-18,4646439,4613011500,2023-05-19 19:48,3,145000,꽃+돌백반;소주/맥주;양념꽃게장추가;간장게장,
e_e000005,2304290002,1,0,0,1,2,3141863933,공주손칼국수,대전 대덕구 덕암로222번길 34,대전 대덕구 덕암동 49-15,4304162,3023011500,2023-04-29 13:04,1,15000,,
e_e000005,2304290007,1,0,0,1,2,4910200613,어반정원,인천 중구 월미문화로 43,인천 중구 북성동1가 98-495,3149044,2811013800,2023-04-29 20:26,1,46000,돈까스;버드와이저;스파게티 그라탕;코로나,
e_e000005,2304300001,1,0,0,1,2,8821100261,월미도우동,인천 중구 월미문화로 71,인천 중구 북성동1가 98-12,3149044,2811013800,2023-04-30 10:45,1,16000,우동떡볶이(매운맛);비빔모밀,
e_e000005,2305020001,1,0,0,1,2,1400436099,경복궁삼계탕,인천 연수구 센트럴로 263,인천 연수구 송도동 29-13,3152013,2818510600,2023-05-02 12:32,1,34000,,
e_e000005,2304290006,3,0,0,1,2,1211888496,월미테마파크,인천 중구 월미문화로 81,인천 중구 북성동1가 98-580,3149044,2811013800,2023-04-29 18:24,1,15000,,
e_e000005,2305010001,3,0,0,1,2,7358501363,더위크앤리조트,인천 중구 용유서로 379,인천 중구 을왕동 773,3149033,2811014900,2023-05-01 12:56,1,64000,아쿠아벤처대;수영모자,
e_e000005,2304300003,1,0,0,2,2,1468600066,인천맥주-칼리가리브루잉,인천 중구 신포로15번길 41,인천 중구 해안동3가 2-1,4247167,2811010700,2023-04-30 14:15,1,18500,수아데로타코;(생)개항로,
e_e000005,2304300004,1,0,0,2,2,1212061205,도래순,인천 중구 신포로15번길 68-1,인천 중구 해안동2가 6-5,4247167,2811010600,2023-04-30 15:41,1,21000,,
e_e000005,2305010004,1,0,0,2,2,1210134425,호남식당,인천 중구 을왕로 66,인천 중구 을왕동 765-6,3149047,2811014900,2023-05-01 20:25,1,120000,소주;참돔(소),
e_e000005,2304300007,3,0,0,2,2,1228612907,(주)코마린(카누&카약&보트),인천 연수구 센트럴로 229,인천 연수구 송도동 24-5,3152013,2818510600,2023-04-30 19:38,1,33000,문보트할인,
e_e000005,2304300003,2,1,1,2,2,1468600066,인천맥주_칼리가리브루잉,인천 중구 신포로15번길 41,인천 중구 해안동3가 2-1,4247167,2811010700,2023-04-30 14:49,1,31000,개항로 선물세트;개항로법(낱개),
e_e000043,2304280004,1,0,0,1,1,7240300714,팡쇼과자점,세종특별자치시 노을3로 25,세종특별자치시 한솔동 941,3258060,3611010600,2023-04-28 15:46,1,53300,소금빵세트(4+1);쿠키세트(3구);초코아몬드;바통바레소;에그타르트;흰둥이,
e_e000043,2304290002,1,0,0,1,1,8808802867,주식회사메인스트리트(평택점),경기 평택시 포승읍 포승산단로13번길 37-21,경기 평택시 포승읍 만호리 697-13,4851926,4122025624,2023-04-29 15:28,1,13000,칠리소세지;누텔라맘모스,
e_e000043,2304300001,1,0,0,1,1,7128801959,주식회사 미스진햄버거,경기 평택시 쇼핑로 3-1,경기 평택시 신장동 302-91,3188049,4122011200,2023-04-30 14:32,1,14500,,
e_e000043,2304300003,1,0,0,1,1,3018187160,어디까페,경기 평택시 오성면 오성서로 291,,3188067,4122034027,2023-04-30 16:21,1,11800,아메리카노(ICE);당근케이크,
e_e000043,2304300002,2,0,0,1,1,1109642047,지우팜,경기 평택시 안중읍 안현로서9길 57,경기 평택시 안중읍 현화리 431-1,4364471,4122025330,2023-04-30 15:32,1,5000,,
e_e000043,2304280003,3,0,0,1,1,2158215514,국립세종수목원,세종특별자치시 수목원로 136,,3352712,3611011900,2023-04-28 14:40,1,5000,입장권,
e_e000043,2304290002,1,0,0,2,1,8808802867,주식회사메인스트리트(평택점),경기 평택시 포승읍 포승산단로13번길 37-21,경기 평택시 포승읍 만호리 697-13,4851926,4122025624,2023-04-29 15:31,1,11000,뉴욕바닐라 쉐이크,
e_e000043,2304300002,2,0,0,2,1,2258271911,평택로컬푸드,경기 평택시 오성면 청오로 33-34,,3188100,4122034021,2023-04-30 15:44,1,5200,우리밀초코웨하스;우리밀보드레웨하스,
e_e000191,2304290002,1,0,0,1,5,8501600032,노을슈퍼,충남 태안군 남면 마검포길 423-4,,4592095,4482532028,2023-04-29 14:30,1,49000,,
e_e000191,2304300001,1,0,0,1,5,1688501506,Largo,충남 태안군 근흥면 연포2길 74-12,,4592211,4482533026,2023-04-30 14:48,1,25000,,
e_e000191,2304300002,1,0,0,1,5,3160443125,영성각,충남 서산시 해미면 남문1로 40-1,충남 서산시 해미면 읍내리 169-1,3254015,4421039021,2023-04-30 18:04,1,64000,,
e_e000191,2304280002,2,0,0,1,5,2239032391,태광수산,충남 태안군 소원면 모항항길 122-42,충남 태안군 소원면 모항리 495-25,4592104,4482534027,2023-04-28 21:12,1,56000,,
e_e000316,2305270003,1,0,0,1,2,6103561558,도동집,서울 용산구 후암로48길 1,,4106591,1117010100,2023-05-27 11:30,1,38000,,
e_e000316,2305270007,1,0,0,1,2,1248586989,(주)현대백화점 더현대 서울,서울 영등포구 여의대로 108,서울 영등포구 여의도동 22,2118001,1156011000,2023-05-27 17:13,1,20500,더반,
e_e000316,2305270008,1,0,0,1,2,1078611651,더현대서울,서울 영등포구 여의대로 108,서울 영등포구 여의도동 22,2118001,1156011000,2023-05-27 18:41,1,51000,호우섬,
e_e000316,2305280001,1,0,0,1,2,4408700209,(주)플러스에프엔디,서울 중구 명동2길 45,서울 중구 충무로1가 22-13,4103154,1114012400,2023-05-28 11:54,1,34500,,
e_e000316,2305280003,1,0,0,1,2,7745700333,적당,서울 중구 을지로 29,서울 중구 을지로1가 87,3101006,1114010400,2023-05-28 12:35,1,17500,Ice)아메리카노;Ice)말차라떼;모나카;녹차양갱,
e_e000316,2305280008,1,0,0,1,2,5638700900,무월,경기 수원시 팔달구 정조로905번길 9,경기 수원시 팔달구 장안동 22-2,4328295,4111513100,2023-05-28 22:23,1,72800,홍자몽;생연어사시미;꽈리고추카레모래집튀김;매실원주;청하,
e_e000316,2305290002,1,0,0,1,2,4368501603,CU,경기 수원시 팔달구 덕영대로 924,,3012001,4111513400,2023-05-29 14:09,1,1800,프로아쿠아제로,
e_e000316,2305290003,2,0,0,1,2,3058148738,성심당본점,대전 중구 대종로480번길 15,대전 중구 은행동 145-1,4295158,3014010100,2023-05-29 18:51,1,15800,판타롱부추빵;튀김소보로;야채고로게;크림치즈화이트번;초코폭탄,
e_e000316,2305290001,1,0,0,2,2,4608501697,남문통닭,경기 수원시 팔달구 정조로800번길 16,경기 수원시 팔달구 팔달로1가 50,4328281,4111512000,2023-05-29 13:09,1,25500,,
e_e000316,2305290002,1,0,0,2,2,2498100472,새누에스씨,,,,,2023-05-29 15:45,1,1000,물품보관 보관증,
e_e000316,2305280006,3,0,0,2,2,1358215727,수원문화재단,경기 수원시 팔달구 행궁로 11,경기 수원시 팔달구 남창동 14,3176017,4111512300,2023-05-28 17:40,1,3000,화성행궁 입장권,
e_e000316,2305290002,1,0,0,3,2,2018121515,스타벅스,대전 유성구 엑스포로 1,대전 유성구 도룡동 3-1,3167043,3020012700,2023-05-29 14:07,1,17300,I-G)유자 민트 티;G)망고 L 리프레셔;생크림 카스텔라,
e_e000316,2305290003,2,1,1,1,2,,11AVENUE,대전 중구 중앙로164번길 22-12,대전 중구 은행동 40-4,4295570,3014010100,2023-05-29 19:12,1,9800,집게,
e_e000316,2305270002,6,1,1,1,2,1078657147,스토리웨이,서울 영등포구 국회대로 612,서울 영등포구 당산동3가 2-7,2005008,1156011300,2023-05-27 07:36,1,4350,웅진)자연은알로에;웅진)티즐피치우롱,
e_e000316,2305280004,2,2,2,0,2,,서울역,43-205,,,,,1,20900,,1117010700
e_e000668,2305200005,1,0,0,0,6,,뉴카스타운대소점,오태로99번길,,,,,1,100000,,4377034000
e_e000668,2305200003,2,0,0,0,6,,완호수산,연안부두로33번길 35 연안부두 종합어시장 7번 출구,,,,,1,110000,,2811011800
e_e001033,2305270003,1,0,0,1,1,6075372465,이월서가,충북 진천군 이월면 진안로 583-6,충북 진천군 이월면 신계리 679,3000132,4375035030,2023-05-27 13:35,1,16000,,
e_e001033,2305270005,1,0,0,1,1,7470200419,이향가든,경기 용인시 처인구 지삼로 508,,3204057,4146110300,2023-05-27 20:34,1,92000,능이버섯 오리백숙;감자전,
e_e001033,2305270003,1,0,0,2,1,6075372465,이월서가,충북 진천군 이월면 진안로 583-6,충북 진천군 이월면 신계리 679,3000132,4375035030,2023-05-27 15:30,1,5500,꿀케이크,
e_e001033,2305270004,1,0,0,2,1,7345000845,숲속 숯가마 내 매점,경기 용인시 기흥구 중부대로874번길 15,,4412245,4146311700,2023-05-27 18:09,1,6000,,
e_e001033,2305270004,3,1,1,1,1,8108702032,주식회사 숲속숯가마,경기 용인시 기흥구 중부대로874번길 15,,4412245,4146311700,2023-05-27 17:13,1,36000,입장권,
e_e001240,2306040001,1,0,0,0,1,,가야해물칼국수,음성로2543,,,,,1,61000,,4377037000
e_e001240,2306040004,1,0,0,1,1,3065700256,카페다원,경기 이천시 장호원읍 경충대로494번길 16,경기 이천시 장호원읍 이황리 531-1,4421085,4150025029,2023-06-04 14:04,1,35500,아메리카노(냉);뽀로로;와플;초코케이크,
e_e001423,2305290002,2,0,0,2,1,5528502262,백술상회,충남 예산군 예산읍 형제고개로 967,,3263048,4481025021,2023-05-29 15:24,1,44000,오리지널 막걸리;2+1 프리미엄 행사,
e_e001423,2305290002,1,1,1,1,1,6744800803,해님빈대떡,충남 예산군 예산읍 형제고개로 967,,3263048,4481025021,2023-05-29 14:10,1,8500,녹두빈대떡;막걸리,
e_e001423,2305290002,1,2,2,2,1,2841402199,신양튀김,충남 예산군 예산읍 형제고개로 967,,3263048,4481025021,2023-05-29 14:42,1,4000,고기튀김,
e_e001423,2305290002,1,3,3,2,1,3110469964,고려떡집,충남 예산군 예산읍 형제고개로 967,,3263048,4481025021,2023-05-29 14:49,1,5000,고기떡;떡1팩,
e_e001579,2306070003,1,0,0,1,2,3012368881,맘스터치,충북 청주시 서원구 서원남로 49-1,충북 청주시 서원구 모충동 245-6,3237042,4311210300,2023-06-07 11:57,1,6900,싸이버거세트,
e_e001579,2306070008,1,0,0,1,2,1103071186,BHC치킨,서울 송파구 송이로14길 3,서울 송파구 가락동 159-6,4169300,1171010700,2023-06-07 17:25,3,24000,뿌링클+치즈볼+콜라1.25L,
e_e001579,2306080002,1,0,0,1,2,5527200420,미쁘동,서울 성동구 서울숲2길 11-12,서울 성동구 성수동1가 685-337,4109318,1120011400,2023-06-08 17:34,1,35000,미쁘동;토마토연어국수,
e_e001579,2306090001,1,0,0,1,2,4701901646,떡도리탕 ,서울 강남구 테헤란로1길 28-9,서울 강남구 역삼동 817-30,4166722,1168010100,2023-06-09 14:33,1,20000,도리탕(소),
e_e001579,2306090003,1,0,0,1,2,6283501089,네네치킨 반포2점,서울 서초구 강남대로85길 21-8,서울 서초구 반포동 735-2,4163034,1165010700,2023-06-09 18:06,3,21000,후라이드치킨+콜라+감자,
e_e001579,2306090002,2,0,0,1,2,2018132195,(주)신세계,서울 서초구 신반포로 176,,3121017,1165010700,2023-06-09 17:26,1,10000,베이커리 블레어 대표코드,
e_e001579,2306070008,3,1,1,0,2,,송파 파티룸 스너그룸스,양재대로62길 13 4층 402호,,,,,1,80000,,1171010700
e_e002195,2306040004,1,0,0,1,2,3058148738,성심당본점,대전 중구 대종로480번길 15,,4295158,3014010100,2023-06-04 00:00,1,34500,명란바게트;페스트리샌드위치;김치찹쌀주먹밥;화쏘브레드;튀김소보로,
e_e003226,2307010002,1,0,0,1,2,5497300246,탕정집 쭈꾸미 ,충남 아산시 번영로234번길 18,충남 아산시 모종동 569-2,4559220,4420011300,2023-07-01 12:43,1,37000,,
e_e003226,2307010007,1,0,0,1,2,3128612271,온양온천랜드,충남 아산시 삼동로28번길 46,충남 아산시 모종동 583-7,4559272,4420011300,2023-07-02 09:15,1,8000,패트음료;맥반석계란(3);컵라면,
e_e003226,2307020001,1,0,0,1,2,4133700968,본가,충남 아산시 순천향로 413-8,충남 아산시 초사동 8,3253046,4420010500,2023-07-02 11:10,1,16000,어죽;어칼국수,
e_e003226,2307020002,1,0,0,1,2,4346300625,노커,충남 아산시 순천향로 413-13,충남 아산시 기산동 157,3253046,4420010400,2023-07-02 11:28,1,10300,시오빵;ICE노커슈페너 ,
e_e003226,2307010007,3,1,1,1,2,3128612271,온양온천랜드,충남 아산시 삼동로28번길 46,충남 아산시 모종동 583-7,4559272,4420011300,2023-07-01 18:30,1,28000,입장권(찜질방이용포함(휴일)),
e_e004870,2307120003,1,0,0,1,3,8988801893,(주)우리동네 파바로티,경기 안성시 금광면 신양복길 96,경기 안성시 금광면 신양복리 282-2,4424446,4155032034,2023-07-12 12:08,1,55000,모짜렐라 마르게리따;새우칠리로제;까르보나라,
e_e004870,2307120002,3,0,0,1,3,1258300321,안성시청,경기 안성시 시청길 25,,4424431,4155010100,2023-07-12 10:57,1,28000,,
e_e004870,2307100006,1,0,0,2,3,7635400220,두꺼비스넥,경기 안성시 안성맞춤대로 1066,경기 안성시 대천동 72,2000021,4155011600,2023-07-10 11:23,1,12000,김밥(2줄) ,
e_e004870,2307120004,1,1,1,1,3,6075372465,이월서가,충북 진천군 이월면 진안로 583-6,충북 진천군 이월면 신계리 679,3000132,4375035030,2023-07-12 12:51,1,22000,,
e_e004944,2307090002,1,0,0,1,2,5290902079,혼가이 베트남쌀국수,충북 진천군 진천읍 문진로 1006,충북 진천군 진천읍 사석리 181-1,3014046,4375025031,2023-07-09 12:21,1,21000,소고기 쌀국수;해물칠리볶음면,
e_e004944,2307090003,1,0,0,1,2,6103232542,YEOYEORO,경기 이천시 신둔면 둔터로162번길 3,경기 이천시 신둔면 수남리 25,4421270,4150031028,2023-07-09 13:38,1,16500,인디언의 활;빗소리로 자라는 나무 ICE,
e_e004944,2307090006,1,0,0,1,2,7302900460,돈가네옛날김치돼지찌개,경기 용인시 처인구 백암면 백암로 175,경기 용인시 처인구 백암면 백암리 501,3203052,4146135021,2023-07-09 19:43,1,19000,,
e_e004944,2307090005,1,1,1,1,2,7888802348,농업회사법인 흥만소,경기 이천시 향교로 3,경기 이천시 창전동 407-18,3207076,4150010100,2023-07-09 15:43,1,9300,흰쌀빵;흑임자 쌀크림빵,
e_e004944,2307090005,2,2,2,0,2,,롯데프리미엄아웃렛이천점,경기 이천시 호법면 프리미엄아울렛로 177-74 롯데프리미엄아울렛이천점,,,,,1,118680,,4150033000
e_e007408,2308190003,1,0,0,1,2,8220201403,중앙탑막국수,충북 충주시 중앙탑면 중앙탑길 109,충북 충주시 중앙탑면 탑평리 41,4515294,4313038521,2023-08-19 19:50,1,28000,막국수-비;후라이드;콜라,
e_e007408,2308190002,3,0,0,1,2,5088511099,충주라바랜드(카페),충북 충주시 남한강로 30,충북 충주시 금릉동 533,3238009,4313012800,2023-08-19 15:17,1,11000,하늘보리;블루베리요거트스무디;청포도에이드,
e_e007408,2308190002,3,0,0,2,2,5088511099,충주라바랜드,충북 충주시 남한강로 30,충북 충주시 금릉동 533,3238009,4313012800,2023-08-19 15:15,1,24000,입장권,
e_e011214,2308250010,1,0,0,1,2,4728702693,백술상회,충남 예산군 예산읍 형제고개로 967,,3263048,4481025021,2023-08-25 14:50,1,5000,오리지널 막걸리 ,
e_e011214,2308250011,1,0,0,1,2,8803001362,발레나,충남 예산군 예산읍 형제고개로 980,,3263048,4481025021,2023-08-25 16:10,1,11300,애플 히비커스 에이드;사과에이드 ,
e_e011214,2308250013,2,0,0,1,2,3110137122,낙원약과,충남 예산군 예산읍 형제고개로 967,,3263048,4481025021,2023-08-25 16:57,1,10000,약과 세트(5개입) ,
e_e011214,2308250008,3,0,0,1,2,,예당호 모노레일,충남 예산군 응봉면 예당관광로 158,충남 예산군 응봉면 후사리 88,3263025,4481035027,2023-08-25 12:58,1,0,탑승권,
e_e011214,2308250010,1,0,0,2,2,413334076,예터칼국수,충남 예산군 예산읍 형제고개로 967,,3263048,4481025021,2023-08-25 14:45,1,6000,비빔칼국수,
e_e011214,2308250012,2,0,0,2,2,2421701843,사과당,충남 예산군 예산읍 형제고개로 972,,3263048,4481025021,2023-08-25 16:55,1,14000,추천4구 1번세트(2/2),
e_e011214,2308250008,1,1,1,1,2,6183771597,스마일커피,충남 예산군 응봉면 예당관광로 160,충남 예산군 응봉면 후사리 88,3263025,4481035027,2023-08-25 13:05,1,5000,,
e_e013132,2309090003,2,0,0,0,4,,레이키,당진중앙1로26,,,,,1,24800,,4427010100
e_e013132,2309090005,1,1,1,0,4,,꼬치엔츄,삽교천3길10-19 1층122호,,,,,1,7000,,4427038000
e_e013132,2309090002,1,2,2,0,4,,우렁이박사,샛터로 7-1,,,,,1,58000,,4427038000
e_e013143,2309230003,1,0,0,1,4,3384000857,오엠씨푸드,대전 유성구 대덕대로 481,,2010001,3020012400,2023-09-23 14:48,1,31000,등심돈가스;치킨가스;꼬치어묵우동,
e_e013144,2309230005,1,0,0,1,2,3141318016,동원칼국수,대전 서구 청사서로54번길 11,대전 서구 월평동 230,4709118,3017011300,2023-09-23 12:56,1,24500,칼국수;비빔국수,
e_e013149,2309240003,1,0,0,1,2,5814700936,만남카페,충북 단양군 단양읍 수양개유적로 63-34,충북 단양군 단양읍 상진리 297,3248038,4380025027,2023-09-24 11:13,1,5500,리코타치즈아이스크림 ,
e_e013149,2309240004,1,0,0,1,2,3040741896,경남식당,충북 단양군 단양읍 고수동굴길 4-8,충북 단양군 단양읍 고수리 127-13,4544032,4380025037,2023-09-24 11:12,1,36000,,
e_e013149,2309240006,1,0,0,1,2,6253300132,단양흑마늘닭강정,충북 단양군 단양읍 도전4길 30,충북 단양군 단양읍 도전리 612,4544127,4380025026,2023-09-24 15:59,3,20000,,
e_e013149,2309240002,3,0,0,1,2,3048205918,단양관광공사(만천하스카이워크),충북 단양군 매포읍 삼봉로 644-13,충북 단양군 매포읍 하괴리 84-1,3248030,4380025324,2023-09-24 09:33,1,6000,입장권,
e_e013149,2309240006,1,0,0,2,2,7804500785,과일향기,충북 단양군 단양읍 도전5길 30,충북 단양군 단양읍 도전리 616,4544128,4380025026,2023-09-24 15:44,1,4000,,
e_e013179,2309240002,1,0,0,1,2,8032301125,대흥식당,충남 예산군 덕산면 수덕사안길 37-1,,4589598,4481036031,2023-09-24 12:44,1,40000,돌솥더덕정식 ,
e_e013179,2309240004,1,0,0,1,2,1748102031,(주)서원(유양창고),충남 예산군 덕산면 수덕사로 1163-4,충남 예산군 덕산면 둔리 481-3,3262028,4481036028,2023-09-24 12:58,1,11300,아메리카노ICE;카페라떼ICE,
e_e013179,2309240008,2,0,0,1,2,7842900680,GS25,충남 예산군 덕산면 덕산온천로 296,충남 예산군 덕산면 신평리 168-1,3263010,4481036026,2023-09-24 15:40,1,1800,광동옥수수500,
e_e013184,2309230004,1,0,0,1,2,3058148738,성심당,대전 중구 대종로480번길 15,,4295158,3014010100,2023-09-23 00:00,1,6700,반미샌드위치 ,
e_e013184,2309230005,1,0,0,1,2,1362101754,수연분식,대전 동구 대전천동로 534,,3164006,3011010100,2023-09-23 11:52,1,9500,,
e_e013184,2309230002,1,0,0,3,2,4310201570,죠샌드위치,서울 서초구 신반포로 194,서울 서초구 반포동 19-4,3121017,1165010700,2023-09-23 07:27,1,13600,숯불고기 잡곡샌드위치;뉴트로미숫가루라떼,
e_e013184,2309230004,1,2,2,1,2,3058148738,테라스키친,대전 중구 대종로480번길 15,,4295158,3014010100,2023-09-23 00:00,1,7500,눈꽃빙수(망고),
e_e013188,2309230003,1,0,0,0,2,,바른찜갈비,충남 아산시 신정호길192번길 4,,,,,1,49500,,4420011700
e_e013188,2309230002,1,0,0,1,2,4546300691,던킨,경기 화성시 송산면 평택시흥고속도로 25,,1000049,4159034025,2023-09-23 16:19,1,5100,아이스아메리카노,
e_e013188,2309230005,1,0,0,1,2,6333500011,레드오븐,충남 아산시 신정호길 33-50,충남 아산시 방축동 742,4559459,4420010300,2023-09-23 18:54,1,22000,솔티드카라멜 스콘;코코넛로쉐;아메리카노;히비스커스,
e_e013282,2309270005,1,0,0,1,2,3110656065,조개사랑1호,충남 당진시 신평면 삽교천3길 84,충남 당진시 신평면 운정리 965-4,4595324,4427038028,2023-09-27 18:41,1,50000,,
e_e013282,2309270006,1,0,0,1,2,3391301514,할리스,충남 당진시 시청2로 49-25,충남 당진시 수청동 1040,3265144,4427010600,2023-09-27 19:49,1,3100,R)ICED카페라떼;시럽추가,
e_e013282,2309270007,3,0,0,1,2,7138701519,롯데시네마,충남 당진시 시청2로 49-19,충남 당진시 수청동 1041,3265144,4427010600,2023-09-27 21:47,1,14000,영화관람권 ,
f_f000001,2304290003,1,0,0,1,3,1248522122,화성(하)휴게소,경기 화성시 팔탄면 서해안고속도로 301,경기 화성시 팔탄면 덕천리 산 102-1,1000007,4159036028,2023-04-29 07:35,1,4500,소떡소떡,
f_f000001,2305010001,1,0,0,1,3,3081693710,태후,충남 서산시 해미면 읍성마을3길 46,충남 서산시 해미면 읍내리 123,4562592,4421039021,2023-05-01 13:13,1,45000,(곱)짜장면;해물짬뽕;탕수육(중),
f_f000001,2304300001,2,0,0,1,3,3168262251,태안군로컬푸드사업단,충남 태안군 남면 안면대로 1641,충남 태안군 남면 당암리 751,2264001,4482532027,2023-04-30 12:46,1,129260,참소라;활광어회;튀김우동큰사발;얼큰한너구리(멀티팩);부추,
f_f000001,2305010003,2,0,0,1,3,3972700968,CU ,충남 서산시 해미면 남문2로 159,충남 서산시 해미면 읍내리 97-4,3254016,4421039021,2023-05-01 14:38,1,6500,대산)포켓몬우산별사탕;탐스제로레몬P600;웰치제로포도P500,
f_f000001,2305010002,3,0,0,1,3,3168204867,해미읍성 국궁장,충남 서산시 해미면 남문2로 143,,3254016,4421039021,2023-05-01 14:12,1,3000,활쏘기 10발,
f_f000001,2304290002,1,4,4,1,3,3168262251,태안군로컬푸드사업단,충남 태안군 남면 안면대로 1641,충남 태안군 남면 당암리 751,2264001,4482532027,2023-04-29 10:21,1,43850,카스;빅 마시멜로우;처음처럼)새로;천일교재)칼라갈고리_소;한주소금,
f_f000001,2304290002,6,5,5,1,3,6722001573,마검포 오토캠핑 마트,충남 태안군 남면 마검포길 311-42,충남 태안군 남면 신온리 952-107,4592095,4482532028,2023-04-29 14:42,1,24000,,
f_f000004,2305010001,2,0,0,0,3,,3 섬광,678-13,,,,,3,16000,,4689025621
f_f000004,2304290003,1,0,0,1,3,4048503884,NH유통(주) 하휴게소 로봇카페,전북 고창군 신림면 서해안고속도로 81,전북 고창군 신림면 벽송리 557-10,1000007,4579042032,2023-04-29 08:53,1,5000,I카페라떼,
f_f000004,2304290006,1,0,0,1,3,4720301864,맘스터치,전남 완도군 노화읍 노화로 831,전남 완도군 노화읍 이포리 890-4,3300008,4689025621,2023-04-29 14:31,1,6900,싸이버거 세트,
f_f000004,2304290009,1,0,0,1,3,4060901710,벌크커피 노화보길점,전남 완도군 노화읍 노화로 831,전남 완도군 노화읍 이포리 890-4,3300008,4689025621,2023-04-29 19:13,1,4000,,
